Date,Team 1,FT,Team 2
Wed Mar 24 1954,Wolverhampton Wanderers,1-1,Bolton Wanderers
Sat Mar 27 1954,Chelsea,1-0,Tottenham Hotspur
Sat Mar 27 1954,Huddersfield Town,4-1,Charlton Athletic
Sat Mar 27 1954,Portsmouth,3-2,Bolton Wanderers
Sat Mar 27 1954,Arsenal,3-1,Manchester United
Sat Mar 27 1954,Wolverhampton Wanderers,2-4,Middlesbrough
Sat Mar 27 1954,Sheffield United,2-1,Burnley
Sat Mar 27 1954,Cardiff City,2-1,Newcastle United
Wed Mar 31 1954,Aston Villa,2-1,Sheffield Wednesday
Wed Mar 31 1954,Blackpool,4-2,Preston North End
Wed Mar 31 1954,Sunderland,2-1,West Bromwich Albion
Sat Apr 3 1954,Preston North End,4-0,Portsmouth
Sat Apr 3 1954,Liverpool,4-3,Sunderland
Sat Apr 3 1954,Middlesbrough,2-1,Aston Villa
Sat Apr 3 1954,Burnley,1-2,Chelsea
Sat Apr 3 1954,Bolton Wanderers,3-1,Arsenal
Sat Apr 3 1954,West Bromwich Albion,0-1,Wolverhampton Wanderers
Sat Apr 3 1954,Manchester United,2-3,Cardiff City
Sat Apr 3 1954,Sheffield Wednesday,1-4,Huddersfield Town
Sat Apr 3 1954,Newcastle United,4-3,Manchester City
Sat Apr 3 1954,Tottenham Hotspur,2-2,Blackpool
Sat Apr 3 1954,Charlton Athletic,3-0,Sheffield United
Tue Apr 6 1954,Arsenal,1-1,Aston Villa
Wed Apr 7 1954,Portsmouth,2-1,Sheffield Wednesday
Wed Apr 7 1954,Sunderland,2-2,Preston North End
Wed Apr 7 1954,Manchester City,0-2,Liverpool
Sat Apr 10 1954,Portsmouth,2-0,Newcastle United
Sat Apr 10 1954,Blackpool,2-0,Manchester United
Sat Apr 10 1954,Cardiff City,2-0,West Bromwich Albion
Sat Apr 10 1954,Arsenal,3-0,Liverpool
Sat Apr 10 1954,Sunderland,2-4,Sheffield Wednesday
Sat Apr 10 1954,Huddersfield Town,2-5,Tottenham Hotspur
Sat Apr 10 1954,Sheffield United,1-1,Preston North End
Sat Apr 10 1954,Manchester City,5-2,Middlesbrough
Sat Apr 10 1954,Aston Villa,5-1,Burnley
Sat Apr 10 1954,Chelsea,2-0,Bolton Wanderers
Sat Apr 10 1954,Wolverhampton Wanderers,5-0,Charlton Athletic
